"","gdp_per_capita","democracy_dictatorship_score","type_of_government","percent_women_in_parliament","income_ratio","hdi_score","hdi_tiers"
"Ethiopia",1000,"Dictatorship","Civilian Dictatorship",21.9,1.638,0.38,"low"
"Finland",33500,"Democracy","Semi-Presidential Democracy",41.5,1.382,0.911,"very high"
"France",31200,"Democracy","Semi-Presidential Democracy",18.2,1.421,0.873,"very high"
"Gabon",7100,"Dictatorship","Civilian Dictatorship",16.7,1.766,0.655,"medium"
"Georgia",3900,"Democracy","Semi-Presidential Democracy",9.4,2.021,0.753,"high"
"Germany",31900,"Democracy","Parliamentary Democracy",31.6,1.455,0.921,"very high"
"Ghana",2700,"Democracy","Presidential Democracy",10.9,1.448,0.55,"low"
"Greece",24000,"Democracy","Parliamentary Democracy",14.7,1.516,0.858,"very high"
"Guatemala",5000,"Democracy","Presidential Democracy",12,2.07,0.59,"medium"
"Guinea",2100,"Dictatorship","Military Dictatorship",19.3,1.29,0.402,"low"
"Guinea-Bissau",900,"Democracy","Semi-Presidential Democracy",14,1.452,0.424,"low"
"Guyana",4900,"Dictatorship","Civilian Dictatorship",29,2.266,0.638,"medium"
"Haiti",1800,"Dictatorship","Civilian Dictatorship",4.1,1.384,0.499,"low"
"Honduras",3100,"Democracy","Presidential Democracy",23.4,1.574,0.586,"medium"
"Hungary",17500,"Democracy","Parliamentary Democracy",11.1,1.576,0.817,"very high"
"Iceland",38000,"Democracy","Semi-Presidential Democracy",33.3,1.409,0.909,"very high"
"India",3800,"Democracy","Parliamentary Democracy",9.1,3.574,0.553,"medium"
"Indonesia",3900,"Democracy","Presidential Democracy",11.6,1.982,0.643,"medium"
"Iraq",1900,"Dictatorship","Military Dictatorship",25.5,4.843,0.607,"medium"
"Ireland",44500,"Democracy","Semi-Presidential Democracy",13.3,1.518,0.896,"very high"
"Israel",26800,"Democracy","Parliamentary Democracy",14.2,1.662,0.885,"very high"
"Italy",30200,"Democracy","Parliamentary Democracy",17.3,1.759,0.877,"very high"
"Jamaica",4700,"Democracy","Parliamentary Democracy",13.3,1.664,0.697,"medium"
"Japan",33100,"Democracy","Parliamentary Democracy",9.4,1.886,0.895,"very high"
"Jordan",5100,"Dictatorship","Royal Dictatorship",6.4,5.682,0.729,"high"
"Kazakhstan",9400,"Dictatorship","Civilian Dictatorship",15.9,1.714,0.758,"high"
"Kuwait",23100,"Dictatorship","Royal Dictatorship",1.5,2.362,0.802,"very high"
"Kyrgyzstan",2100,"Democracy","Semi-Presidential Democracy",25.6,2.024,0.656,"medium"
"Latvia",16000,"Democracy","Parliamentary Democracy",20,1.437,0.82,"very high"
"Lebanon",5900,"Dictatorship","Military Dictatorship",4.7,3.835,0.752,"high"
"Lesotho",2700,"Dictatorship","Civilian Dictatorship",23.5,1.511,0.452,"low"
"Liberia",900,"Democracy","Presidential Democracy",12.5,1.308,0.448,"low"
"Lithuania",15300,"Democracy","Semi-Presidential Democracy",22.7,1.352,0.83,"very high"
"Luxembourg",71400,"Democracy","Parliamentary Democracy",23.3,1.539,0.887,"very high"
"Madagascar",900,"Democracy","Semi-Presidential Democracy",7.9,1.316,0.482,"low"
"Malawi",600,"Democracy","Presidential Democracy",13,1.377,0.423,"low"
"Malaysia",12800,"Dictatorship","Civilian Dictatorship",10,1.591,0.747,"high"
"Maldives",3900,"Democracy","Presidential Democracy",12,2.619,0.665,"medium"
"Mali",1300,"Democracy","Semi-Presidential Democracy",10.2,1.903,0.382,"low"
"Malta",21300,"Democracy","Parliamentary Democracy",9.2,1.832,0.837,"very high"
"Mauritania",2600,"Dictatorship","Military Dictatorship",22.1,2.697,0.499,"low"
"Mauritius",13700,"Democracy","Parliamentary Democracy",17.1,2.229,0.734,"high"
"Mexico",10700,"Democracy","Presidential Democracy",23.2,2.067,0.743,"high"
"Mongolia",2100,"Democracy","Semi-Presidential Democracy",6.6,1.386,0.68,"medium"
"Montenegro",3800,"Dictatorship","Civilian Dictatorship[clarification needed]",11.1,1.596,0.787,"high"
"Morocco",4600,"Dictatorship","Royal Dictatorship",10.5,3.616,0.581,"medium"
"Mozambique",1500,"Dictatorship","Civilian Dictatorship",34.8,1.079,0.377,"low"
"Namibia",7500,"Dictatorship","Civilian Dictatorship",26.9,1.114,0.569,"medium"
"Nepal",1500,"Democracy","Parliamentary Democracy",17.3,1.234,0.509,"low"
"Netherlands",32100,"Democracy","Parliamentary Democracy",39.3,1.473,0.912,"very high"
"New Zealand",26200,"Democracy","Parliamentary Democracy",33.1,1.636,0.916,"very high"
"Nicaragua",3100,"Democracy","Presidential Democracy",18.5,2.018,0.599,"medium"
"Niger",1000,"Democracy","Semi-Presidential Democracy",12.4,1.619,0.311,"low"
"Nigeria",1500,"Democracy","Presidential Democracy",7,1.355,0.48,"low"
"Norway",46300,"Democracy","Parliamentary Democracy",36.1,1.259,0.938,"very high"
"Oman",14400,"Dictatorship","Royal Dictatorship",0,4.382,0.762,"high"
"Pakistan",2600,"Democracy","Parliamentary Democracy",21.1,5.351,0.499,"low"
"Panama",8200,"Democracy","Presidential Democracy",16.7,1.897,0.763,"high"
"Papua New Guinea",2700,"Democracy","Parliamentary Democracy",0.9,1.262,0.478,"low"
"Paraguay",4800,"Democracy","Presidential Democracy",10,1.688,0.669,"medium"
"Peru",6600,"Democracy","Presidential Democracy",29.2,1.793,0.7,"medium"
"Philippines",5000,"Democracy","Presidential Democracy",20.5,1.259,0.664,"medium"
"Poland",14400,"Democracy","Semi-Presidential Democracy",20.4,1.588,0.825,"very high"
"Portugal",19800,"Democracy","Semi-Presidential Democracy",28.3,1.386,0.818,"very high"
"Qatar",29800,"Dictatorship","Royal Dictatorship",0,2.298,0.834,"very high"
"Romania",9100,"Democracy","Semi-Presidential Democracy",9.4,1.502,0.786,"high"
"Rwanda",1600,"Dictatorship","Military Dictatorship",48.8,1.316,0.456,"low"
"Saint Lucia",4800,"Democracy","Parliamentary Democracy",11.1,1.502,0.718,"high"
"Saint Vincent and the Grenadines",3600,"Democracy","Parliamentary Democracy",18.2,1.741,0.73,"high"
"Saudi Arabia",13800,"Dictatorship","Royal Dictatorship",0,4.244,0.794,"high"
"Senegal",1800,"Democracy","Semi-Presidential Democracy",22,1.834,0.439,"low"
"Serbia",4400,"Democracy","Semi-Presidential Democracy",20.4,1.45,0.754,"high"
"Sierra Leone",900,"Democracy","Presidential Democracy",13.2,1.266,0.397,"low"
"Singapore",31400,"Dictatorship","Civilian Dictatorship",24.5,1.378,0.887,"very high"
"Slovakia",18200,"Democracy","Semi-Presidential Democracy",19.3,1.625,0.823,"very high"
"Slovenia",23400,"Democracy","Parliamentary Democracy",12.2,1.277,0.882,"very high"
"Solomon Islands",600,"Democracy","Parliamentary Democracy",0,1.573,0.523,"low"
"South Africa",13300,"Dictatorship","Civilian Dictatorship",33,1.644,0.644,"medium"
"Spain",27400,"Democracy","Parliamentary Democracy",36.6,1.553,0.858,"very high"
"Sri Lanka",4700,"Democracy","Presidential Democracy",5.8,2.566,0.719,"high"
"Sudan",2400,"Dictatorship","Military Dictatorship",18.1,3.616,0.47,"low"
"Suriname",7100,"Democracy","Presidential Democracy",25.5,1.911,0.701,"high"
"Sweden",32200,"Democracy","Parliamentary Democracy",47,1.288,0.908,"very high"
"Switzerland",34000,"Democracy","Presidential Democracy",28.5,1.408,0.92,"very high"
"Tajikistan",1300,"Dictatorship","Civilian Dictatorship",17.5,1.967,0.625,"medium"
"Thailand",9200,"Democracy","Parliamentary Democracy",11.7,1.256,0.724,"high"
"Togo",1700,"Dictatorship","Civilian Dictatorship",11.1,1.299,0.457,"low"
"Tonga",2200,"Dictatorship","Royal Dictatorship",3.3,1.941,0.704,"high"
"Trinidad and Tobago",19800,"Democracy","Parliamentary Democracy",26.8,1.61,0.773,"high"
"Tunisia",8900,"Dictatorship","Military Dictatorship",22.8,3.56,0.706,"high"
"Turkmenistan",8500,"Dictatorship","Civilian Dictatorship",16,1.787,0.682,"medium"
"Uganda",1900,"Dictatorship","Civilian Dictatorship",30.7,1.75,0.476,"low"
"Ukraine",7800,"Democracy","Semi-Presidential Democracy",8.2,1.729,0.757,"high"
"United Arab Emirates",49700,"Dictatorship","Royal Dictatorship",22.5,3.369,0.831,"very high"
"Uruguay",10900,"Democracy","Presidential Democracy",12.1,1.63,0.771,"high"
"Uzbekistan",2000,"Dictatorship","Civilian Dictatorship",17.5,1.763,0.656,"medium"
"Vanuatu",2900,"Democracy","Parliamentary Democracy",3.8,1.553,0.585,"medium"
"Venezuela",7200,"Dictatorship","Civilian Dictatorship",18.6,1.888,0.749,"high"
"Yemen",1000,"Dictatorship","Military Dictatorship",0.3,15.49,0.498,"low"
"Zambia",1000,"Dictatorship","Civilian Dictatorship",15.2,1.386,0.495,"low"
"Zimbabwe",2100,"Dictatorship","Civilian Dictatorship",16,1.361,0.454,"low"
